threshold,TP,FP,TN,FN,fpr,fnr,n_pos,n_neg
0.0415,471,2821,2429,4,0.53733,0.00842,475,5250
0.0416,471,2819,2431,4,0.53695,0.00842,475,5250
0.0417,471,2816,2434,4,0.53638,0.00842,475,5250
0.0418,471,2810,2440,4,0.53524,0.00842,475,5250
0.0419,471,2807,2443,4,0.53467,0.00842,475,5250
0.042,471,2801,2449,4,0.53352,0.00842,475,5250
0.0421,471,2798,2452,4,0.53295,0.00842,475,5250
0.0422,470,2795,2455,5,0.53238,0.01053,475,5250
0.0423,470,2788,2462,5,0.53105,0.01053,475,5250
0.0424,470,2730,2520,5,0.52,0.01053,475,5250
0.0425,470,2634,2616,5,0.50171,0.01053,475,5250
0.0426,470,2628,2622,5,0.50057,0.01053,475,5250
0.0427,470,2617,2633,5,0.49848,0.01053,475,5250
0.0428,470,2609,2641,5,0.49695,0.01053,475,5250
0.0429,470,2606,2644,5,0.49638,0.01053,475,5250
0.043,470,2602,2648,5,0.49562,0.01053,475,5250
0.0431,470,2595,2655,5,0.49429,0.01053,475,5250
0.0432,470,2589,2661,5,0.49314,0.01053,475,5250
0.0433,470,2586,2664,5,0.49257,0.01053,475,5250
0.0434,470,2585,2665,5,0.49238,0.01053,475,5250
0.0435,470,2584,2666,5,0.49219,0.01053,475,5250
0.0436,470,2580,2670,5,0.49143,0.01053,475,5250
0.0437,470,2578,2672,5,0.49105,0.01053,475,5250
0.0438,470,2576,2674,5,0.49067,0.01053,475,5250
0.0439,470,2573,2677,5,0.4901,0.01053,475,5250
0.044,470,2568,2682,5,0.48914,0.01053,475,5250
0.0441,470,2563,2687,5,0.48819,0.01053,475,5250
0.0442,470,2560,2690,5,0.48762,0.01053,475,5250
0.0443,470,2556,2694,5,0.48686,0.01053,475,5250
0.0444,470,2556,2694,5,0.48686,0.01053,475,5250
0.0445,470,2554,2696,5,0.48648,0.01053,475,5250
0.0446,470,2550,2700,5,0.48571,0.01053,475,5250
0.0447,470,2544,2706,5,0.48457,0.01053,475,5250
0.0448,470,2539,2711,5,0.48362,0.01053,475,5250
0.0449,470,2537,2713,5,0.48324,0.01053,475,5250
0.045,470,2535,2715,5,0.48286,0.01053,475,5250
0.0451,470,2533,2717,5,0.48248,0.01053,475,5250
0.0452,470,2527,2723,5,0.48133,0.01053,475,5250
0.0453,470,2525,2725,5,0.48095,0.01053,475,5250
0.0454,470,2520,2730,5,0.48,0.01053,475,5250
0.0455,470,2516,2734,5,0.47924,0.01053,475,5250
0.0456,470,2516,2734,5,0.47924,0.01053,475,5250
0.0457,470,2510,2740,5,0.4781,0.01053,475,5250
0.0458,470,2507,2743,5,0.47752,0.01053,475,5250
0.0459,470,2502,2748,5,0.47657,0.01053,475,5250
0.046,470,2496,2754,5,0.47543,0.01053,475,5250
0.0461,470,2491,2759,5,0.47448,0.01053,475,5250
0.0462,470,2488,2762,5,0.4739,0.01053,475,5250
0.0463,470,2484,2766,5,0.47314,0.01053,475,5250
0.0464,470,2481,2769,5,0.47257,0.01053,475,5250
0.0465,470,2476,2774,5,0.47162,0.01053,475,5250
0.0466,470,2468,2782,5,0.4701,0.01053,475,5250
0.0467,470,2463,2787,5,0.46914,0.01053,475,5250
0.0468,470,2460,2790,5,0.46857,0.01053,475,5250
0.0469,470,2457,2793,5,0.468,0.01053,475,5250
