PACKAGE_NAME,RISK_LEVEL,PROB_MALICIOUS,PREINSTALL
bs-component-js-0.1.11-beta1,LOW,0.05077,
bsb-js-1.1.7,LOW,0.05077,
btsd__aitu-bridge-0.5.0,MEDIUM,0.14602,
bucks-js-3.0.4,LOW,0.04627,
buddy-js__cli-0.0.9,LOW,0.05077,
bufferapp__buffer-js-api-0.3.0,LOW,0.00027,
bufferapp__buffer-js-request-0.2.0,LOW,0.0,
bufferapp__micro-rpc-client-1.5.0,LOW,0.0,
bugsnag-source-maps-fork-3.0.0,LOW,0.04533,
bugsnag__delivery-react-native-8.6.0,LOW,0.01385,
bugsnag__js-8.6.0,LOW,0.01385,
bugsnag__plugin-angular-8.6.0,LOW,0.01212,
bugsnag__plugin-browser-session-8.6.0,LOW,0.01385,
bugsnag__plugin-console-breadcrumbs-8.6.0,LOW,0.01385,
bugsnag__plugin-electron-client-state-persistence-8.6.0,LOW,0.05077,
bugsnag__plugin-electron-renderer-client-state-updates-8.6.0,LOW,0.05077,
bugsnag__plugin-express-8.6.0,LOW,0.00249,
bugsnag__plugin-interaction-breadcrumbs-8.6.0,LOW,0.02341,
bugsnag__plugin-internal-callback-marker-8.6.0,LOW,0.05077,
bugsnag__plugin-koa-8.6.0,LOW,0.01385,
bugsnag__plugin-navigation-breadcrumbs-8.6.0,LOW,0.00858,
bugsnag__plugin-network-breadcrumbs-8.6.0,LOW,0.0,
bugsnag__plugin-node-surrounding-code-8.6.0,LOW,0.05077,
bugsnag__plugin-node-uncaught-exception-8.6.0,LOW,0.05077,
bugsnag__plugin-node-unhandled-rejection-8.6.0,LOW,0.05077,
bugsnag__plugin-react-8.6.0,LOW,0.05077,
bugsnag__plugin-react-native-client-sync-8.6.0,LOW,0.05077,
bugsnag__plugin-react-native-global-error-handler-8.6.0,LOW,0.05077,
bugsnag__plugin-react-native-orientation-breadcrumbs-8.6.0,LOW,0.05077,
bugsnag__plugin-react-native-unhandled-rejection-8.6.0,LOW,0.00258,
bugsnag__plugin-restify-8.6.0,LOW,0.01385,
bugsnag__plugin-stackframe-path-normaliser-8.6.0,LOW,0.01385,
bugsnag__plugin-strip-project-root-8.6.0,LOW,0.01385,
