Filename,Package Name,Risk Level,Malicious Probability,High Threshold,Medium Threshold
react-library-setup_0.0.6_1764727502_report.json,react-library-setup@0.0.6,HIGH,1.0000,0.7748,0.3440
_posthog+heartbeat-plugin_0.0.8_1764726473_report.json,@posthog/heartbeat-plugin@0.0.8,HIGH,0.7748,0.7748,0.3440
bidirectional-adapter_1.2.4_1764727060_report.json,bidirectional-adapter@1.2.4,HIGH,0.7748,0.7748,0.3440
_asyncapi+python-paho-template_0.2.14_1764725859_report.json,@asyncapi/python-paho-template@0.2.14,MEDIUM,0.5747,0.7748,0.3440
_osmanekrem+bmad_1.0.6_1764726452_report.json,@osmanekrem/bmad@1.0.6,MEDIUM,0.6824,0.7748,0.3440
tcsp_2.0.2_1764727621_report.json,tcsp@2.0.2,LOW,0.0634,0.7748,0.3440
_postman+pretty-ms_6.1.3_1764726682_report.json,@postman/pretty-ms@6.1.3,MEDIUM,0.5747,0.7748,0.3440
_clausehq+flows-step-sendgridemail_0.1.14_1764725985_report.json,@clausehq/flows-step-sendgridemail@0.1.14,HIGH,0.7748,0.7748,0.3440
_voiceflow+backend-utils_5.0.1_1764726843_report.json,@voiceflow/backend-utils@5.0.1,LOW,0.0634,0.7748,0.3440
_postman+pm-bin-linux-x64_1.24.5_1764726606_report.json,@postman/pm-bin-linux-x64@1.24.5,LOW,0.2441,0.7748,0.3440
_postman+secret-scanner-wasm_2.1.3_1764726647_report.json,@postman/secret-scanner-wasm@2.1.3,LOW,0.2237,0.7748,0.3440
_pradhumngautam+common-app_1.0.2_1764726688_report.json,@pradhumngautam/common-app@1.0.2,HIGH,0.7748,0.7748,0.3440
_postman+wdio-allure-reporter_0.0.7_1764726716_report.json,@postman/wdio-allure-reporter@0.0.7,HIGH,0.7748,0.7748,0.3440
feature-flip_1.0.2_1764727165_report.json,feature-flip@1.0.2,HIGH,0.7748,0.7748,0.3440
_voiceflow+encryption_0.3.3_1764726816_report.json,@voiceflow/encryption@0.3.3,LOW,0.2441,0.7748,0.3440
_voiceflow+voice-types_2.10.58_1764726913_report.json,@voiceflow/voice-types@2.10.58,HIGH,0.7748,0.7748,0.3440
zuper-sdk_1.0.57_1764727657_report.json,zuper-sdk@1.0.57,HIGH,0.7748,0.7748,0.3440
_accordproject+concerto-linter-default-ruleset_3.24.1_1764725617_report.json,@accordproject/concerto-linter-default-ruleset@3.24.1,HIGH,0.7748,0.7748,0.3440
react-native-google-maps-directions_2.1.2_1764727492_report.json,react-native-google-maps-directions@2.1.2,MEDIUM,0.5747,0.7748,0.3440
_ntnx+t_0.0.101_1764726397_report.json,@ntnx/t@0.0.101,LOW,0.0634,0.7748,0.3440
_voiceflow+logger_2.4.2_1764726842_report.json,@voiceflow/logger@2.4.2,HIGH,0.7748,0.7748,0.3440
_kvytech+medusa-plugin-promotion_0.0.2_1764726359_report.json,@kvytech/medusa-plugin-promotion@0.0.2,MEDIUM,0.5300,0.7748,0.3440
_asyncapi+modelina_5.10.3_1764725816_report.json,@asyncapi/modelina@5.10.3,HIGH,1.0000,0.7748,0.3440
_posthog+hedgehog-mode_0.0.42_1764726490_report.json,@posthog/hedgehog-mode@0.0.42,LOW,0.0634,0.7748,0.3440
_postman+postman-mcp-server_2.4.11_1764726732_report.json,@postman/postman-mcp-server@2.4.11,HIGH,1.0000,0.7748,0.3440
