Package_Name,Dynamic_Prob,Dynamic_Risk_Level,Static_Prob,Static_Risk_Level
@mcp-use/mcp-use,0.7748,HIGH,0.04633,HIGH
colors-regex,0.5747,MEDIUM,0.87969,HIGH
command-irail,0.73,MEDIUM,0.87983,HIGH
zuper-cli,1,HIGH,0.87978,HIGH
@posthog/variance-plugin,0.344,MEDIUM,0,HIGH
@posthog/web-dev-server,0.7748,HIGH,0.87953,HIGH
@posthog/nextjs,0.48,MEDIUM,0.02994,HIGH
@voiceflow/stitches-react,0.344,MEDIUM,0.88106,HIGH
@antstackio/graphql-body-parser,0.7748,HIGH,0.87971,HIGH
n8n-nodes-vercel-ai-sdk,0.5747,MEDIUM,0.88914,HIGH
@postman/final-node-keytar,1,HIGH,0,HIGH
@postman/final-node-keytar,1,HIGH,0,HIGH
@postman/final-node-keytar,1,HIGH,0,HIGH
@quick-start-soft/quick-markdown-translator,0.0634,LOW,0.45153,HIGH
@posthog/maxmind-plugin,0.7748,HIGH,0.88026,HIGH
tanstack-shadcn-table,1,HIGH,0.63562,HIGH
ids-enterprise-mcp-server,0.7748,HIGH,0.97457,HIGH
@zapier/zapier-sdk,0.0634,LOW,0.00001,HIGH
@zapier/zapier-sdk,0.0634,LOW,0.00001,HIGH
@quick-start-soft/quick-remove-image-background,0.0634,LOW,0.45148,HIGH
@zapier/eslint-plugin-zapier,0.0634,LOW,0.04649,HIGH
@zapier/eslint-plugin-zapier,0.0634,LOW,0.04649,HIGH
web-scraper-mcp,1,HIGH,0.6336,HIGH
@asyncapi/openapi-schema-parser,1,HIGH,0.93159,HIGH
hover-design-prototype,1,HIGH,0.87976,HIGH
@strapbuild/react-native-perspective-image-cropper-poojan31,0.5747,MEDIUM,0.96637,HIGH
@pruthvi21/use-debounce,0.7748,HIGH,0.87975,HIGH
@asyncapi/generator,0.7748,HIGH,0.53876,HIGH
@quick-start-soft/quick-markdown-compose,0.0634,LOW,0.45315,HIGH
@ensdomains/address-encoder,0.7748,HIGH,0.93326,HIGH
ngx-useful-swiper-prosenjit,0.5747,MEDIUM,0.87989,HIGH
mon-package-react-typescript,0.7748,HIGH,0.87967,HIGH
@kvytech/cli,0.98,HIGH,0.81796,HIGH
react-native-email,0.7748,HIGH,0.87974,HIGH
iron-shield-miniapp,0.7748,HIGH,0.96574,HIGH
@voiceflow/utils-designer,0.0634,LOW,0.05721,HIGH
@voiceflow/utils-designer,0.0634,LOW,0.05721,HIGH
@voiceflow/eslint-plugin,1,HIGH,0.87978,HIGH
@actbase/react-native-fast-image,0.0634,LOW,0.87998,HIGH
chrome-extension-downloads,0.344,MEDIUM,0.87968,HIGH
@strapbuild/react-native-date-time-picker,0.0634,LOW,0.86913,HIGH
orbit-soap,0.5747,MEDIUM,0.73366,HIGH
@voiceflow/pino-pretty,0.4089,MEDIUM,0.88052,HIGH
@voiceflow/nestjs-rate-limit,0.0634,LOW,0.87986,HIGH
pdf-annotation,0.7748,HIGH,0.87979,HIGH
zapier-platform-core,0.7748,HIGH,0.13344,HIGH
zapier-platform-core,0.7748,HIGH,0.13344,HIGH
@orbitgtbelgium/orbit-components,0.0634,LOW,0.88525,HIGH
@voiceflow/base-types,0.7748,HIGH,0.88444,HIGH
@quick-start-soft/quick-markdown,0.0634,LOW,0.45365,HIGH
posthog-docusaurus,0.7748,HIGH,0.87977,HIGH
@actbase/react-native-less-transformer,0.5747,MEDIUM,0.87978,HIGH
@dev-blinq/cucumber_client,0.995,HIGH,0.8332,HIGH
@voiceflow/general-types,0.4089,MEDIUM,0.01158,HIGH
@voiceflow/general-types,0.4089,MEDIUM,0.01158,HIGH
tcsp-draw-test,0.0634,LOW,0.87972,HIGH
@asyncapi/html-template,0.86,HIGH,0.82384,HIGH
zapier-platform-legacy-scripting-runner,0.7748,HIGH,0.88961,HIGH
@quick-start-soft/quick-git-clean-markdown,0.0634,LOW,0.45119,HIGH
@kvytech/habbit-e2e-test,0.7748,HIGH,0.04969,HIGH
zapier-platform-cli,0.7748,HIGH,0.77652,HIGH
zapier-platform-cli,0.7748,HIGH,0.77652,HIGH
@antstackio/eslint-config-antstack,0.5747,MEDIUM,0.87969,HIGH
orbit-nebula-draw-tools,0.0634,LOW,0.88097,HIGH
@actbase/react-kakaosdk,0.0634,LOW,0.88618,HIGH
@clausehq/flows-step-mqtt,0.7748,HIGH,0.87992,HIGH
medusa-plugin-momo,0.0634,LOW,0.63555,HIGH
@asyncapi/avro-schema-parser,1,HIGH,0.8802,HIGH
react-native-websocket,0.5747,MEDIUM,0.9211,HIGH
medusa-plugin-product-reviews-kvy,1,HIGH,0.63312,HIGH
@browserbasehq/bb9,0.344,MEDIUM,0.88026,HIGH
kwami,0.6824,MEDIUM,0.79152,HIGH
best_gpio_controller,0.01,LOW,0.8798,HIGH
@quick-start-soft/quick-markdown-print,0.0634,LOW,0.45125,HIGH
@zapier/ai-actions,0.6824,MEDIUM,0.88118,HIGH
super-commit,0.7748,HIGH,0.18547,HIGH
@ensdomains/thorin,0.0634,LOW,0.88088,HIGH
@posthog/wizard,1,HIGH,0,HIGH
@actbase/css-to-react-native-transform,0.9943,HIGH,0.88035,HIGH
@ensdomains/vite-plugin-i18next-loader,0.995,HIGH,0.87994,HIGH
@ensdomains/ccip-read-dns-gateway,0.5747,MEDIUM,0.63308,HIGH
@seezo/sdr-mcp-server,0.344,MEDIUM,0.63236,HIGH
@ensdomains/web3modal,0.9943,HIGH,0.88547,HIGH
@orbitgtbelgium/time-slider,0.86,HIGH,0.88394,HIGH
@zapier/spectral-api-ruleset,0.0634,LOW,0.88117,HIGH
@posthog/plugin-server,0.0634,LOW,0.55549,HIGH
manual-billing-system-miniapp-api,0.7748,HIGH,0.9657,HIGH
hopedraw,0.7748,HIGH,0.87968,HIGH
